repository,stars,language,license,tier,file,bytes,lines,headings,code_blocks,build_commands,test_commands,code_style,architecture,prohibitions,emphatic,pr_conventions,security,dir_map,file_refs,agent_addressed,examples
ultralytics/ultralytics,60107,Python,agpl-3.0,full,AGENTS.md,8484,81,13,1,1,1,1,1,1,1,1,0,0,0,0,1
ultralytics/ultralytics,60107,Python,agpl-3.0,full,CLAUDE.md,8484,81,13,1,1,1,1,1,1,1,1,0,0,0,0,1
ZhuLinsen/daily_stock_analysis,59778,Python,mit,full,AGENTS.md,17263,292,19,5,0,1,0,0,0,0,1,0,0,0,0,0
ZhuLinsen/daily_stock_analysis,59778,Python,mit,full,CLAUDE.md,17263,292,19,5,0,1,0,0,0,0,1,0,0,0,0,0
ZhuLinsen/daily_stock_analysis,59778,Python,mit,full,.github/copilot-instructions.md,3448,39,4,0,0,0,0,0,1,0,0,0,0,1,0,1
marktext/marktext,59477,TypeScript,mit,full,CLAUDE.md,16227,303,30,5,1,1,1,1,1,0,0,0,1,0,0,1
MemPalace/mempalace,57941,Python,mit,full,AGENTS.md,7463,134,15,4,1,1,1,1,1,0,0,0,1,0,0,0
MemPalace/mempalace,57941,Python,mit,full,CLAUDE.md,7463,134,15,4,1,1,1,1,1,0,0,0,1,0,0,0
ultralytics/yolov5,57780,Python,agpl-3.0,full,AGENTS.md,7628,57,6,1,0,1,1,1,1,1,1,0,0,0,0,1
ultralytics/yolov5,57780,Python,agpl-3.0,full,CLAUDE.md,7628,57,6,1,0,1,1,1,1,1,1,0,0,0,0,1
appwrite/appwrite,56750,TypeScript,bsd-3-clause,full,AGENTS.md,16253,251,22,2,0,1,1,1,1,0,0,0,0,0,1,0
appwrite/appwrite,56750,TypeScript,bsd-3-clause,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mvanhorn/last30days-skill,56565,Python,mit,full,AGENTS.md,15298,134,18,1,0,1,1,1,1,0,0,1,0,0,0,0
mvanhorn/last30days-skill,56565,Python,mit,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mvanhorn/last30days-skill,56565,Python,mit,full,.github/copilot-instructions.md,1183,39,6,0,0,1,0,0,1,0,1,0,0,0,0,0
remix-run/react-router,56537,TypeScript,mit,full,AGENTS.md,7678,159,14,5,1,1,0,1,1,0,0,0,0,1,1,1
remix-run/react-router,56537,TypeScript,mit,full,CLAUDE.md,988,27,4,0,0,1,0,0,1,0,0,0,0,1,0,0
crewAIInc/crewAI,56468,Python,mit,full,AGENTS.md,1024,27,3,0,0,0,0,0,1,0,0,0,0,0,0,0
Zie619/n8n-workflows,55915,Python,mit,full,CLAUDE.md,4745,461,27,1,0,0,0,1,0,0,0,0,0,1,0,0
laurent22/joplin,55790,TypeScript,,metadata,CLAUDE.md,85,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
makeplane/plane,55332,TypeScript,agpl-3.0,full,AGENTS.md,1836,37,4,0,1,1,1,0,0,0,0,0,0,0,0,0
BerriAI/litellm,55270,Python,mit,full,AGENTS.md,38,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BerriAI/litellm,55270,Python,mit,full,CLAUDE.md,12173,109,2,0,0,1,0,0,1,0,0,0,0,1,1,1
BerriAI/litellm,55270,Python,mit,full,GEMINI.md,38,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
remotion-dev/remotion,55161,TypeScript,,metadata,AGENTS.md,204,9,9,0,1,0,1,0,0,0,0,0,0,0,0,0
remotion-dev/remotion,55161,TypeScript,,metadata,CLAUDE.md,32,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
remotion-dev/remotion,55161,TypeScript,,metadata,.github/copilot-instructions.md,75,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0
twentyhq/twenty,54022,TypeScript,agpl-3.0,full,CLAUDE.md,9384,225,42,8,1,1,1,1,1,1,0,0,1,0,0,1
aaif-goose/goose,52062,Rust,apache-2.0,full,AGENTS.md,4372,115,21,8,1,1,1,1,1,0,0,0,1,0,0,1
aaif-goose/goose,52062,Rust,apache-2.0,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
aaif-goose/goose,52062,Rust,apache-2.0,full,.github/copilot-instructions.md,4637,102,13,1,0,1,0,1,1,0,0,1,0,0,1,0
DefinitelyTyped/DefinitelyTyped,51354,TypeScript,mit,full,CLAUDE.md,1001,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0
justjavac/wechat-miniapp-radar,51212,TypeScript,gpl-3.0,full,AGENTS.md,4963,109,8,5,0,0,0,0,0,0,1,1,0,0,0,0
cypress-io/cypress,50645,TypeScript,mit,full,AGENTS.md,15334,280,52,7,1,1,1,1,1,0,0,0,0,1,0,0
cypress-io/cypress,50645,TypeScript,mit,full,CLAUDE.md,1935,49,9,0,0,0,0,0,1,0,0,0,0,1,0,0
chenglou/pretext,49600,TypeScript,mit,full,AGENTS.md,17662,118,4,0,0,0,0,0,1,0,0,0,0,0,1,1
chenglou/pretext,49600,TypeScript,mit,full,CLAUDE.md,17662,118,4,0,0,0,0,0,1,0,0,0,0,0,1,1
tldraw/tldraw,49529,TypeScript,,metadata,AGENTS.md,249,14,14,0,1,0,1,1,0,0,1,0,0,0,0,0
tldraw/tldraw,49529,TypeScript,,metadata,CLAUDE.md,,,,,0,0,0,0,0,0,0,0,0,0,0,0
pandas-dev/pandas,49388,Python,bsd-3-clause,full,AGENTS.md,2827,49,9,0,0,0,0,1,1,0,0,0,0,0,0,1
CherryHQ/cherry-studio,49247,TypeScript,agpl-3.0,full,AGENTS.md,19237,233,34,2,1,1,1,1,1,1,0,0,0,1,1,1
CherryHQ/cherry-studio,49247,TypeScript,agpl-3.0,full,CLAUDE.md,19237,233,34,2,1,1,1,1,1,1,0,0,0,1,1,1
roboflow/supervision,48527,Python,mit,full,AGENTS.md,8017,154,10,5,0,1,0,1,1,0,1,0,1,1,0,0
roboflow/supervision,48527,Python,mit,full,CLAUDE.md,163,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0
roboflow/supervision,48527,Python,mit,full,.github/copilot-instructions.md,4650,147,19,4,1,1,1,1,0,0,1,0,1,1,0,1
ChromeDevTools/chrome-devtools-mcp,48327,TypeScript,apache-2.0,full,AGENTS.md,771,20,2,0,0,1,0,0,1,0,0,0,0,0,0,1
prisma/prisma,47426,TypeScript,apache-2.0,full,AGENTS.md,11197,131,15,1,0,1,0,1,1,0,0,0,0,1,0,1
prisma/prisma,47426,TypeScript,apache-2.0,full,CLAUDE.md,11197,131,15,1,0,1,0,1,1,0,0,0,0,1,0,1
calcom/cal.diy,47158,TypeScript,mit,full,AGENTS.md,9225,245,25,6,1,1,0,1,1,0,1,1,0,1,1,1
calcom/cal.diy,47158,TypeScript,mit,full,CLAUDE.md,9225,245,25,6,1,1,0,1,1,0,1,1,0,1,1,1
exo-explore/exo,46577,Python,apache-2.0,full,AGENTS.md,6523,197,33,6,1,1,1,1,1,1,1,0,0,0,1,0
exo-explore/exo,46577,Python,apache-2.0,full,CLAUDE.md,6523,197,33,6,1,1,1,1,1,1,1,0,0,0,1,0
exo-explore/exo,46577,Python,apache-2.0,full,.cursorrules,3126,65,11,0,0,0,0,0,1,0,0,0,0,0,1,1
HKUDS/nanobot,46500,Python,mit,full,AGENTS.md,5314,87,15,1,1,1,1,1,0,0,0,0,0,1,0,0
HKUDS/nanobot,46500,Python,mit,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
moeru-ai/airi,46360,TypeScript,mit,full,AGENTS.md,33305,340,21,0,1,1,0,1,1,0,1,0,0,1,1,1
moeru-ai/airi,46360,TypeScript,mit,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
moeru-ai/airi,46360,TypeScript,mit,full,.github/copilot-instructions.md,1049,31,4,0,0,0,0,0,1,0,0,0,0,0,0,0
apache/airflow,46350,Python,apache-2.0,full,AGENTS.md,35417,520,24,3,1,1,1,1,1,1,1,0,0,1,1,1
apache/airflow,46350,Python,apache-2.0,full,CLAUDE.md,35417,520,24,3,1,1,1,1,1,1,1,0,0,1,1,1
KeygraphHQ/shannon,46331,TypeScript,agpl-3.0,full,CLAUDE.md,24290,255,43,4,1,0,1,1,1,1,0,1,0,0,0,1
siyuan-note/siyuan,45559,TypeScript,agpl-3.0,full,AGENTS.md,11139,154,11,0,0,0,1,1,1,1,0,1,0,0,0,0
DIYgod/RSSHub,45500,TypeScript,agpl-3.0,full,AGENTS.md,8314,128,10,0,0,0,1,0,1,0,0,0,0,1,0,1
jestjs/jest,45455,TypeScript,mit,full,CLAUDE.md,46,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0
jestjs/jest,45455,TypeScript,mit,full,.github/copilot-instructions.md,16142,239,20,9,1,1,0,0,1,0,0,0,0,0,0,1
streamlit/streamlit,45445,Python,apache-2.0,full,AGENTS.md,8699,108,7,0,1,1,0,1,1,0,0,0,0,1,1,0
streamlit/streamlit,45445,Python,apache-2.0,full,CLAUDE.md,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
streamlit/streamlit,45445,Python,apache-2.0,full,.github/copilot-instructions.md,8815,110,7,0,1,1,0,1,1,0,0,0,0,1,1,0
rohitg00/ai-engineering-from-scratch,45415,Python,mit,full,AGENTS.md,8645,219,30,6,0,0,0,1,1,0,1,1,1,0,1,0
abhigyanpatwari/GitNexus,44912,TypeScript,,metadata,AGENTS.md,450,19,19,0,0,0,0,0,1,0,1,0,0,0,0,0
abhigyanpatwari/GitNexus,44912,TypeScript,,metadata,CLAUDE.md,248,13,13,0,0,0,0,0,1,0,0,0,0,0,0,0
abhigyanpatwari/GitNexus,44912,TypeScript,,metadata,.cursorrules,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mitmproxy/mitmproxy,44539,Python,mit,full,AGENTS.md,214,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
calesthio/OpenMontage,44499,Python,agpl-3.0,full,AGENTS.md,384,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0
calesthio/OpenMontage,44499,Python,agpl-3.0,full,CLAUDE.md,402,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0
calesthio/OpenMontage,44499,Python,agpl-3.0,full,.github/copilot-instructions.md,405,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0
getsentry/sentry,44424,Python,apache-2.0,full,AGENTS.md,8623,235,42,11,1,1,0,0,1,1,1,0,0,0,1,1
getsentry/sentry,44424,Python,apache-2.0,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sickn33/agentic-awesome-skills,44267,Python,mit,full,AGENTS.md,6766,55,10,0,1,1,1,1,1,0,1,1,0,0,0,0
payloadcms/payload,43918,TypeScript,mit,full,AGENTS.md,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
payloadcms/payload,43918,TypeScript,mit,full,CLAUDE.md,18714,433,26,12,1,1,1,1,1,1,1,0,1,0,1,1
ccxt/ccxt,43472,Python,mit,full,AGENTS.md,35966,578,49,17,1,1,0,1,1,1,1,1,1,0,1,0
ccxt/ccxt,43472,Python,mit,full,CLAUDE.md,35966,578,49,17,1,1,0,1,1,1,1,1,1,0,1,0
ray-project/ray,43405,Python,apache-2.0,full,AGENTS.md,3741,100,11,1,1,1,0,0,1,0,1,0,0,1,1,0
colinhacks/zod,43381,TypeScript,mit,full,AGENTS.md,11800,139,15,4,1,1,0,0,1,1,1,0,0,0,0,1
colinhacks/zod,43381,TypeScript,mit,full,CLAUDE.md,11800,139,15,4,1,1,0,0,1,1,1,0,0,0,0,1
colinhacks/zod,43381,TypeScript,mit,full,.cursorrules,11800,139,15,4,1,1,0,0,1,1,1,0,0,0,0,1
Alishahryar1/free-claude-code,43291,Python,mit,full,AGENTS.md,8398,107,11,0,0,1,0,1,1,0,0,0,0,0,1,1
Alishahryar1/free-claude-code,43291,Python,mit,full,CLAUDE.md,8398,107,11,0,0,1,0,1,1,0,0,0,0,0,1,1
gradio-app/gradio,43262,Python,apache-2.0,full,AGENTS.md,3530,73,9,0,0,1,1,1,1,0,1,0,0,1,1,0
HeyPuter/puter,42922,TypeScript,agpl-3.0,full,AGENTS.md,16239,153,12,3,0,1,1,0,1,0,0,0,0,1,1,1
HeyPuter/puter,42922,TypeScript,agpl-3.0,full,CLAUDE.md,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepspeedai/DeepSpeed,42843,Python,apache-2.0,full,AGENTS.md,2041,33,6,0,0,0,0,0,1,1,1,0,0,0,0,1
deepspeedai/DeepSpeed,42843,Python,apache-2.0,full,CLAUDE.md,2041,33,6,0,0,0,0,0,1,1,1,0,0,0,0,1
hugohe3/ppt-master,42378,Python,mit,full,AGENTS.md,10618,108,20,1,0,0,1,1,1,0,0,0,0,1,1,0
hugohe3/ppt-master,42378,Python,mit,full,CLAUDE.md,307,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0
agno-agi/agno,41532,Python,apache-2.0,full,AGENTS.md,6233,242,28,10,1,1,0,1,1,0,1,0,1,0,1,0
agno-agi/agno,41532,Python,apache-2.0,full,CLAUDE.md,7145,258,29,10,1,1,0,1,1,0,1,0,1,0,1,0
agno-agi/agno,41532,Python,apache-2.0,full,.cursorrules,4446,187,3,9,0,0,0,0,1,1,0,0,0,0,1,0
danny-avila/LibreChat,41528,TypeScript,mit,full,AGENTS.md,293,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
danny-avila/LibreChat,41528,TypeScript,mit,full,CLAUDE.md,9647,186,23,0,1,1,1,1,1,0,0,0,0,0,0,1
styled-components/styled-components,41135,TypeScript,mit,full,AGENTS.md,30349,205,18,0,1,1,0,1,1,1,0,0,0,1,1,1
styled-components/styled-components,41135,TypeScript,mit,full,CLAUDE.md,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luongnv89/claude-howto,40755,Python,mit,full,CLAUDE.md,3207,63,10,1,1,1,0,1,1,1,1,0,0,0,1,0
chakra-ui/chakra-ui,40547,TypeScript,mit,full,CLAUDE.md,9398,344,33,11,1,1,1,1,0,0,1,0,1,0,0,1
Imbad0202/academic-research-skills,40445,Python,,metadata,.github/copilot-instructions.md,170,8,8,0,1,0,0,1,0,0,0,0,0,0,0,0
outline/outline,39945,TypeScript,apache-2.0,full,AGENTS.md,6992,209,22,4,0,1,0,0,1,0,0,0,0,0,0,1
outline/outline,39945,TypeScript,apache-2.0,full,CLAUDE.md,6992,209,22,4,0,1,0,0,1,0,0,0,0,0,0,1
amruthpillai/reactive-resume,39928,TypeScript,mit,full,AGENTS.md,13369,158,11,3,0,1,1,1,1,0,0,1,0,0,0,1
amruthpillai/reactive-resume,39928,TypeScript,mit,full,CLAUDE.md,13369,158,11,3,0,1,1,1,1,0,0,1,0,0,0,1
Kong/insomnia,39906,TypeScript,apache-2.0,full,AGENTS.md,5288,106,10,2,1,1,0,1,1,1,0,1,0,1,0,1
Kong/insomnia,39906,TypeScript,apache-2.0,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
novuhq/novu,39411,TypeScript,mit,full,AGENTS.md,2431,44,9,0,1,0,0,0,1,0,0,0,0,0,1,0
heygen-com/hyperframes,39062,TypeScript,apache-2.0,full,AGENTS.md,6356,91,8,5,1,1,1,1,1,0,0,0,0,0,0,0
heygen-com/hyperframes,39062,TypeScript,apache-2.0,full,CLAUDE.md,10970,121,11,5,1,1,1,1,1,0,0,0,0,0,0,0
RSSNext/Folo,38741,TypeScript,agpl-3.0,full,AGENTS.md,7699,172,29,3,1,1,1,1,1,0,1,0,0,0,0,1
RSSNext/Folo,38741,TypeScript,agpl-3.0,full,.github/copilot-instructions.md,73,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
langchain-ai/langgraph,38633,Python,mit,full,AGENTS.md,1866,58,3,2,0,1,0,0,1,0,0,0,1,0,1,0
langchain-ai/langgraph,38633,Python,mit,full,CLAUDE.md,1863,58,3,2,0,1,0,0,1,0,0,0,1,0,1,0
mattermost/mattermost,38631,TypeScript,agpl-3.0,full,AGENTS.md,1108,19,3,0,0,0,0,0,1,0,0,0,0,1,0,0
ant-design/ant-design-pro,38612,TypeScript,mit,full,AGENTS.md,6083,130,14,1,0,1,0,1,1,0,0,0,0,0,1,0
ant-design/ant-design-pro,38612,TypeScript,mit,full,CLAUDE.md,6083,130,14,1,0,1,0,1,1,0,0,0,0,0,1,0
AstrBotDevs/AstrBot,38438,Python,agpl-3.0,full,AGENTS.md,6502,137,12,9,1,0,1,0,1,0,1,0,0,0,1,1
AstrBotDevs/AstrBot,38438,Python,agpl-3.0,full,.github/copilot-instructions.md,3092,63,12,0,1,0,0,0,1,1,0,0,0,0,0,0
wshobson/agents,38424,Python,mit,full,AGENTS.md,5382,77,8,2,0,1,0,0,1,0,0,1,0,1,0,0
wshobson/agents,38424,Python,mit,full,CLAUDE.md,5382,77,8,2,0,1,0,0,1,0,0,1,0,1,0,0
wshobson/agents,38424,Python,mit,full,GEMINI.md,2030,53,8,3,1,0,0,0,0,0,0,0,0,1,0,0
HKUDS/LightRAG,38411,Python,mit,full,AGENTS.md,27443,364,51,11,1,1,1,1,1,0,1,0,0,0,1,1
HKUDS/LightRAG,38411,Python,mit,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Yeachan-Heo/oh-my-claudecode,38239,TypeScript,mit,full,AGENTS.md,21842,412,4,1,1,0,0,0,1,0,0,0,0,0,1,1
Yeachan-Heo/oh-my-claudecode,38239,TypeScript,mit,full,CLAUDE.md,7416,119,2,1,1,0,0,0,1,0,0,0,0,0,1,1
portainer/portainer,38109,TypeScript,zlib,full,CLAUDE.md,2513,60,11,1,1,1,0,1,0,0,0,0,0,1,0,0
ueberdosis/tiptap,37858,TypeScript,mit,full,AGENTS.md,4422,101,13,3,0,1,1,0,1,0,1,0,0,0,0,1
ueberdosis/tiptap,37858,TypeScript,mit,full,CLAUDE.md,4422,101,13,3,0,1,1,0,1,0,1,0,0,0,0,1
PostHog/posthog,37425,Python,mit,full,AGENTS.md,31393,246,21,2,1,1,1,1,1,1,1,0,0,1,1,1
PostHog/posthog,37425,Python,mit,full,CLAUDE.md,31393,246,21,2,1,1,1,1,1,1,1,0,0,1,1,1
PostHog/posthog,37425,Python,mit,full,.cursorrules,1781,25,0,0,0,0,0,0,1,1,0,0,0,0,1,0
github/awesome-copilot,37326,Python,mit,full,AGENTS.md,16569,339,34,3,1,0,1,1,1,0,1,0,1,1,0,1
github/awesome-copilot,37326,Python,mit,full,.github/copilot-instructions.md,3271,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0
TriliumNext/Trilium,37160,TypeScript,agpl-3.0,full,CLAUDE.md,28060,360,45,2,1,1,1,1,1,0,1,1,1,0,0,1
huggingface/pytorch-image-models,37032,Python,apache-2.0,full,CLAUDE.md,901,19,3,0,1,1,1,0,1,0,0,0,0,0,0,0
directus/directus,36959,TypeScript,gpl-3.0,full,AGENTS.md,7964,240,29,5,1,1,1,1,1,1,1,0,0,0,1,1
directus/directus,36959,TypeScript,gpl-3.0,full,.github/copilot-instructions.md,6282,266,48,8,1,1,1,1,1,0,0,1,1,0,0,1
diegosouzapw/OmniRoute,36880,TypeScript,mit,full,AGENTS.md,37005,601,62,4,1,1,1,1,1,1,1,1,0,1,0,1
diegosouzapw/OmniRoute,36880,TypeScript,mit,full,CLAUDE.md,46651,565,40,8,1,1,1,0,1,1,1,1,0,1,1,1
diegosouzapw/OmniRoute,36880,TypeScript,mit,full,GEMINI.md,8281,51,5,0,1,1,0,1,1,1,0,1,0,0,0,0
diegosouzapw/OmniRoute,36880,TypeScript,mit,full,.github/copilot-instructions.md,981,16,1,0,0,1,0,0,1,0,1,0,0,0,0,0
date-fns/date-fns,36616,TypeScript,,metadata,AGENTS.md,46,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0
typeorm/typeorm,36611,TypeScript,mit,full,.github/copilot-instructions.md,9289,298,33,6,1,1,1,1,1,0,1,0,0,1,0,1
CopilotKit/CopilotKit,36394,TypeScript,mit,full,AGENTS.md,7612,73,7,0,0,0,0,0,1,0,0,0,0,1,1,1
CopilotKit/CopilotKit,36394,TypeScript,mit,full,CLAUDE.md,3265,37,4,0,0,0,0,0,1,0,0,0,0,1,0,1
lfnovo/open-notebook,36242,TypeScript,mit,full,AGENTS.md,3074,46,5,0,0,1,0,0,1,0,0,1,0,1,0,1
lfnovo/open-notebook,36242,TypeScript,mit,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
lerna/lerna,36052,TypeScript,mit,full,AGENTS.md,3306,25,4,0,1,0,0,0,0,0,0,0,0,0,0,0
lerna/lerna,36052,TypeScript,mit,full,CLAUDE.md,6718,194,34,4,1,1,1,1,1,1,1,0,0,0,1,1
microsoft/playwright-mcp,35720,TypeScript,apache-2.0,full,CLAUDE.md,1352,42,5,1,0,1,1,0,1,0,1,0,0,1,0,0
alan2207/bulletproof-react,35632,TypeScript,mit,full,AGENTS.md,9161,290,59,4,1,1,1,1,1,0,1,0,1,0,0,1
medusajs/medusa,35514,TypeScript,mit,full,CLAUDE.md,9981,358,20,9,1,1,1,1,1,1,0,1,1,1,0,0
stablyai/orca,35086,TypeScript,mit,full,AGENTS.md,4664,61,14,0,0,0,1,0,1,1,1,0,0,1,0,1
stablyai/orca,35086,TypeScript,mit,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
blakeblackshear/frigate,34735,TypeScript,mit,full,AGENTS.md,13350,451,80,8,1,0,1,1,1,1,0,0,0,0,0,1
blakeblackshear/frigate,34735,TypeScript,mit,full,CLAUDE.md,13350,451,80,8,1,0,1,1,1,1,0,0,0,0,0,1
gitroomhq/postiz-app,34084,TypeScript,agpl-3.0,full,CLAUDE.md,4130,70,0,0,0,0,0,0,1,0,0,0,0,0,1,0
gitroomhq/postiz-app,34084,TypeScript,agpl-3.0,full,.github/copilot-instructions.md,4170,117,12,3,0,1,1,1,0,0,0,1,0,0,0,0
backstage/backstage,33994,TypeScript,apache-2.0,full,AGENTS.md,6297,68,5,0,1,1,0,1,1,1,0,0,0,0,1,1
backstage/backstage,33994,TypeScript,apache-2.0,full,.github/copilot-instructions.md,2855,47,4,1,0,0,0,1,1,0,1,0,0,0,1,0
remix-run/remix,33268,TypeScript,mit,full,AGENTS.md,7849,87,9,0,1,1,1,0,1,0,0,0,0,0,0,1
remix-run/remix,33268,TypeScript,mit,full,CLAUDE.md,469,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
motiondivision/motion,33041,TypeScript,mit,full,AGENTS.md,1270,41,5,0,0,1,0,1,0,0,0,0,0,0,0,0
motiondivision/motion,33041,TypeScript,mit,full,CLAUDE.md,13072,192,30,4,1,1,1,1,1,1,0,0,0,0,1,1
motiondivision/motion,33041,TypeScript,mit,full,.cursorrules,235,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0
langfuse/langfuse,32279,TypeScript,mit,full,AGENTS.md,7572,154,8,1,1,1,0,1,1,0,0,1,0,0,0,0
langfuse/langfuse,32279,TypeScript,mit,full,CLAUDE.md,7572,154,8,1,1,1,0,1,1,0,0,1,0,0,0,0
hasura/graphql-engine,32063,TypeScript,apache-2.0,full,CLAUDE.md,582,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0
refined-github/refined-github,31845,TypeScript,mit,full,CLAUDE.md,639,20,1,0,0,0,0,0,1,0,0,0,0,0,1,0
refined-github/refined-github,31845,TypeScript,mit,full,.github/copilot-instructions.md,427,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0
HKUDS/DeepTutor,31775,Python,apache-2.0,full,AGENTS.md,7164,139,14,3,1,0,0,1,0,0,0,0,1,0,0,0
mantinedev/mantine,31520,TypeScript,mit,full,AGENTS.md,2165,53,8,2,0,1,1,0,1,0,1,0,0,0,0,0
mantinedev/mantine,31520,TypeScript,mit,full,CLAUDE.md,2165,53,8,2,0,1,1,0,1,0,1,0,0,0,0,0
fabricjs/fabric.js,31356,TypeScript,mit,full,AGENTS.md,2762,92,12,1,1,1,1,0,1,0,1,0,0,0,0,1
fabricjs/fabric.js,31356,TypeScript,mit,full,CLAUDE.md,2762,92,12,1,1,1,1,0,1,0,1,0,0,0,0,1
iOfficeAI/AionUi,31231,TypeScript,apache-2.0,full,AGENTS.md,7500,155,19,6,1,1,1,1,1,1,1,0,0,1,0,1
iOfficeAI/AionUi,31231,TypeScript,apache-2.0,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
transloadit/uppy,30896,TypeScript,mit,full,CLAUDE.md,5023,131,25,2,1,1,1,1,1,0,0,1,0,0,0,0
JCodesMore/ai-website-cloner-template,30772,TypeScript,mit,full,AGENTS.md,3038,66,9,1,0,0,1,1,0,1,0,0,1,1,1,0
JCodesMore/ai-website-cloner-template,30772,TypeScript,mit,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JCodesMore/ai-website-cloner-template,30772,TypeScript,mit,full,GEMINI.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JCodesMore/ai-website-cloner-template,30772,TypeScript,mit,full,.github/copilot-instructions.md,6852,148,19,1,0,0,1,1,1,1,0,0,1,0,1,0
Gitlawb/openclaude,30468,TypeScript,,metadata,AGENTS.md,165,8,8,0,0,0,1,1,0,0,0,0,0,0,0,0
nanocoai/nanoclaw,30405,TypeScript,mit,full,AGENTS.md,29577,339,33,7,1,1,0,0,1,0,1,1,0,1,1,1
nanocoai/nanoclaw,30405,TypeScript,mit,full,CLAUDE.md,29577,339,33,7,1,1,0,0,1,0,1,1,0,1,1,1
sequelize/sequelize,30376,TypeScript,mit,full,.github/copilot-instructions.md,6750,190,22,4,1,1,1,1,0,0,0,0,1,0,0,0
heroui-inc/heroui,30273,TypeScript,apache-2.0,full,AGENTS.md,10114,295,25,14,0,1,1,1,1,0,1,0,1,0,0,0
heroui-inc/heroui,30273,TypeScript,apache-2.0,full,CLAUDE.md,27869,805,54,11,1,1,1,1,1,1,1,0,1,0,1,1
the1812/Bilibili-Evolved,30024,TypeScript,,metadata,AGENTS.md,159,8,8,0,1,0,1,1,0,0,0,0,0,0,0,0
statelyai/xstate,29952,TypeScript,mit,full,AGENTS.md,666,14,2,0,0,1,0,0,1,0,1,0,0,0,0,0
statelyai/xstate,29952,TypeScript,mit,full,CLAUDE.md,666,14,2,0,0,1,0,0,1,0,1,0,0,0,0,0
jitsi/jitsi-meet,29684,TypeScript,apache-2.0,full,CLAUDE.md,11917,268,45,2,1,1,1,1,0,0,0,0,1,0,0,0
topoteretes/cognee,29663,Python,apache-2.0,full,AGENTS.md,5771,131,7,10,1,1,1,1,0,0,1,0,0,0,0,0
topoteretes/cognee,29663,Python,apache-2.0,full,CLAUDE.md,21573,615,110,28,1,1,1,1,0,1,1,1,0,0,0,0
ComposioHQ/composio,29489,TypeScript,mit,full,AGENTS.md,4761,106,9,3,0,1,0,1,1,0,0,0,0,0,0,0
ComposioHQ/composio,29489,TypeScript,mit,full,CLAUDE.md,199,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
better-auth/better-auth,29419,TypeScript,mit,full,AGENTS.md,4175,72,7,0,1,1,0,1,1,1,0,1,0,0,0,1
better-auth/better-auth,29419,TypeScript,mit,full,CLAUDE.md,4175,72,7,0,1,1,0,1,1,1,0,1,0,0,0,1
slymnoyann/hey-1,29371,TypeScript,gpl-3.0,full,AGENTS.md,2366,47,7,0,1,1,1,1,1,0,1,1,0,0,0,0
slymnoyann/hey-1,29371,TypeScript,gpl-3.0,full,.cursorrules,3815,94,8,0,0,0,1,1,1,0,0,0,0,0,1,0
